bill_length_mm,body_mass_g
45.9,3500.0
47.8,3900.0
53.8,4200.0
48.2,3500.0
45.5,4000.0
49.4,3200.0
51.1,4400.0
48.2,3700.0
49.9,3800.0
48.6,4200.0
47.5,3600.0
48.9,3300.0
48.9,3700.0
52.1,4100.0
43.4,3200.0
51.8,3500.0
50.4,4000.0
43.2,5100.0
50.3,4600.0
48.9,5200.0
49.4,5000.0
46.7,4300.0
53.0,5400.0
46.2,4800.0
46.2,5300.0
47.1,5400.0
41.6,4300.0
52.6,6100.0
47.7,5100.0
48.2,5100.0
47.3,5300.0
48.8,5800.0
40.4,4300.0
48.6,4900.0
37.9,3900.0
40.0,4100.0
39.8,3700.0
37.1,3400.0
37.8,3700.0
37.1,4000.0
38.8,3800.0
40.4,3400.0
37.4,3500.0
39.1,3900.0
36.2,3500.0
41.2,3300.0
39.3,3800.0
35.6,3000.0
37.4,3100.0
36.7,3400.0
